playlist_tvg_id,guide_id,display_name
BHT.1.ba (src05),BHT1.ba,|BIH| BHT 1 HD
FTV.HD.(BIH).ba (src05),Federalnatelevizija.ba,|BIH| FTV HD
obn.ba,OBN.ba,|BIH| OBN HD
Hayat HD.ba (src09),Hayat.ba,|BIH| HAYAT BiH HD
FaceHD.ba,FACETV.ba,|BIH| FACE TV HD
RTRS.rs,RTRSTV.ba,|BIH| RTRS HD
N1BiH.ba (src01),N1.ba,|BIH| N1 INFO
TVSarajevo.ba (src01),TVSA.ba,|BIH| TV SARAJEVO
HRTTV1.hr,HRT1.hr,|HR| HRT 1 HD
HRTTV2.hr,HRT2.hr,|HR| HRT 2 HD
novatv.hr,NovaTV.hr,|HR| NOVA TV HD
RTLTelevizija.hr,RTL.hr,|HR| RTL HD
RTL2HR.hr (src09),RTL2.hr,|HR| RTL 2 HD
rts1.rs,RTS1.rs,|SRB| RTS 1 HD
RTS.3.HD.rs (src05),RTS3.rs,|SRB| RTS 3
RTSMuzika.rs (src01),RTSMuzika.rs,|SRB| RTS MUZIKA
Prva HD (SR).rs,Prva.rs,|SRB| PRVA TV HD
Prva World,PrvaWorld.rs,|SRB| PRVA WORLD HD
prva-max.sr,PrvaMax.rs,|SRB| PRVA MAX HD
b92,B92.rs,|SRB| B92
informertv.rs,InformerTV.rs,|SRB| INFORMER
Hype TV,HypeTV.rs,|SRB| HYPE TV
happytv,Happy.rs,|SRB| HAPPY TV HD
pinkplus.rs,PinkPlus.rs,PINK PLUS
pinkfilm.rs,PinkFilm.rs,PINK FILM
pinkfamily.rs,PinkFamily.rs,PINK FAMILY
pinkaction.rs,PinkAction.rs,PINK ACTION
pinkmovies.rs,PinkMovies.rs,PINK MOVIES
pinkwestern.rs,PinkWestern.rs,PINK WESTERN
pinkclassic.rs,PinkClassic.rs,PINK CLASSIC
pinkpremium.rs,PinkPremium.rs,PINK PREMIUM
pinkthriller.rs,PinkThriller.rs,PINK THRILLER
pinkscifi.rs,PinkSciFiFantasy.rs,PINK SCI-FI & FANTASY
pinkcrime&mystery.rs,PinkCrimeMystery.rs,PINK CRIME & MYSTERY
pinkcomedy.rs,PinkComedy.rs,PINK COMEDY
pinkwcinema.rs,PinkWorldCinema.rs,PINK WORLD CINEMA
pinkhorror.rs,PinkHorror.rs,PINK HORROR
pinkromance.rs,PinkRomance.rs,PINK ROMANCE
pinkkoncert.rs,PinkKoncert.rs,PINK KONCERT
pinkshow.rs,PinkShow.rs,PINK SHOW
pinkfashion.rs,PinkFashion.rs,PINK FASHION
pinkworld.rs,PinkWorld.rs,PINK WORLD
pinkstyle.rs,PinkStyle.rs,PINK STYLE
ArenaSport1.ba (src01),ArenaSport1.ba,|BH| ARENA SPORT 1
Arena Sport 2 HD.ba (src09),ArenaSport2.ba,|BH| ARENA SPORT 2
Arenasport 03.ba (src09),ArenaSport3.ba,|BH| ARENA SPORT 3
arenasport6.ba,iptv#ch-arena-sport-6,|BH| ARENA SPORT 6
maxsport1.hr,311616552052,|HR| MAX SPORT 1 HD
maxsport2.hr,311620648169,|HR| MAX SPORT 2
arenasport1.hr,ArenaSport1.hr@SD,|HR| ARENA SPORT 1 HD
arenasport2.hr,ArenaSport2.hr@SD,|HR| ARENA SPORT 2 HD
arenasport3.hr,ArenaSport3.hr@SD,|HR| ARENA SPORT 3 HD
arenasport4.hr,ArenaSport4.hr@SD,|HR| ARENA SPORT 4  HD
arenasport5.hr,ArenaSport5.hr@SD,|HR| ARENA SPORT 5 HD
arenasport6.hr,ArenaSport6.hr@SD,|HR| ARENA SPORT 6
arenasport7.hr,ArenaSport7.hr@SD,|HR| ARENA SPORT 7
arenasport8.hr,ArenaSport8.hr@SD,|HR| ARENA SPORT 8
arenasport9.hr,ArenaSport9.hr@SD,|HR| ARENA SPORT 9
arenasport10.hr,ArenaSport10.hr@SD,|HR| ARENA SPORT 10
eurosport1.rs,eurosport_1,|SR| EURO SPORT 1
eurosport2.rs,eurosport_2,|SR| EURO SPORT 2
ArenaSportPremium1.rs (src01),ArenaSport1Premium.rs@SD,|SR| ARENA 1 PREMIUM HD
Arena.PREMIUM.2.rs (src05),ArenaSport2Premium.rs@SD,|SR| ARENA 2 PREMIUM HD
ArenaSportPremium3.rs (src01),ArenaSport3Premium.rs@SD,|SR| ARENA 3 PREMIUM HD
Arena.PREMIUM.4.rs (src05),ArenaSport4Premium.rs@SD,|SR| ARENA 4 PREMIUM
Arena.PREMIUM.5.rs (src05),ArenaSport5Premium.rs@SD,|SR| ARENA 5 PREMIUM
arenasport1.rs,ArenaSport1.rs@SD,|SR| ARENA SPORT 1 HD
arenasport2.rs,ArenaSport2.rs@SD,|SR| ARENA SPORT 2 HD
